answer,first,team,note,hof
RUTH,Babe,Yankees,who hit 714 career home runs,1
AARON,Hank,Braves,the longtime home run king with 755,1
MAYS,Willie,Giants,the 'Say Hey Kid',1
BONDS,Barry,Giants,the single-season and career home run record holder,0
COBB,Ty,Tigers,owner of a .366 career average,1
GEHRIG,Lou,Yankees,the 'Iron Horse',1
MANTLE,Mickey,Yankees,a switch-hitting Triple Crown winner,1
JETER,Derek,Yankees,the Yankees' longtime captain,1
RIVERA,Mariano,Yankees,the all-time saves leader,1
BERRA,Yogi,Yankees,a catcher famous for his malaprops,1
RYAN,Nolan,Astros,who threw a record seven no-hitters,1
CLEMENTE,Roberto,Pirates,"who reached exactly 3,000 hits",1
ROSE,Pete,Reds,"baseball's all-time hits leader with 4,256",0
BENCH,Johnny,Reds,a Big Red Machine catcher,1
MUSIAL,Stan,Cardinals,'Stan the Man',1
GIBSON,Bob,Cardinals,who posted a 1.12 ERA in 1968,1
KOUFAX,Sandy,Dodgers,a dominant lefty ace,1
ROBINSON,Jackie,Dodgers,who broke the color barrier in 1947,1
SEAVER,Tom,Mets,'Tom Terrific',1
PIAZZA,Mike,Mets,a slugging catcher,1
WILLIAMS,Ted,Red Sox,the last man to hit .400,1
ORTIZ,David,Red Sox,'Big Papi',1
RIPKEN,Cal,Orioles,"who played 2,632 straight games",1
GWYNN,Tony,Padres,an eight-time batting champ,1
BANKS,Ernie,Cubs,'Mr. Cub',1
SCHMIDT,Mike,Phillies,a slugging third baseman,1
BRETT,George,Royals,a lifetime .305 hitter,1
FISK,Carlton,Red Sox,who waved his 1975 Series homer fair,1
MADDUX,Greg,Braves,a four-time Cy Young winner,1
JONES,Chipper,Braves,a switch-hitting third baseman,1
GRIFFEY,Ken,Mariners,'The Kid',1
PUJOLS,Albert,Cardinals,a 700-home-run slugger,0
TROUT,Mike,Angels,a three-time AL MVP,0
OHTANI,Shohei,Dodgers,a two-way MVP phenom,0
OTT,Mel,Giants,a 500-home-run outfielder,1
FOXX,Jimmie,Athletics,'Double X',1
YOUNT,Robin,Brewers,a two-time AL MVP,1
CAREW,Rod,Twins,a seven-time batting champ,1
THOMAS,Frank,White Sox,'The Big Hurt',1
SOTO,Juan,Padres,a young slugging outfielder,0
