season,player,team,award
2005,Reggie Bush,USC,Heisman Trophy
2006,Troy Smith,Ohio State,Heisman Trophy
2007,Tim Tebow,Florida,Heisman Trophy
2008,Sam Bradford,Oklahoma,Heisman Trophy
2009,Mark Ingram,Alabama,Heisman Trophy
2010,Cam Newton,Auburn,Heisman Trophy
2011,Robert Griffin III,Baylor,Heisman Trophy
2012,Johnny Manziel,Texas A&M,Heisman Trophy
2013,Jameis Winston,Florida State,Heisman Trophy
2014,Marcus Mariota,Oregon,Heisman Trophy
2015,Derrick Henry,Alabama,Heisman Trophy
2016,Lamar Jackson,Louisville,Heisman Trophy
2017,Baker Mayfield,Oklahoma,Heisman Trophy
2018,Kyler Murray,Oklahoma,Heisman Trophy
2019,Joe Burrow,LSU,Heisman Trophy
2020,DeVonta Smith,Alabama,Heisman Trophy
2021,Bryce Young,Alabama,Heisman Trophy
2022,Caleb Williams,USC,Heisman Trophy
2023,Jayden Daniels,LSU,Heisman Trophy
2024,Travis Hunter,Colorado,Heisman Trophy
