team_season_id,franchise,season,display,division,games,record,pts_scored_mean,pts_scored_sd,pts_allowed_mean,pts_allowed_sd,point_diff_pg,strength_z,eligible_qb,eligible_rb,eligible_wr,eligible_te
ARI-1999,ARI,1999,1999 Arizona Cardinals,NFC West,16,6-10,15.31,8.75,23.88,11.25,-8.563,-1.28,2,4,4,2
ATL-1999,ATL,1999,1999 Atlanta Falcons,NFC South,16,5-11,17.81,10.91,23.75,8.71,-5.938,-0.887,2,3,5,3
BAL-1999,BAL,1999,1999 Baltimore Ravens,AFC North,16,8-8,20.25,12.5,17.31,10.12,2.938,0.439,2,3,5,2
BUF-1999,BUF,1999,1999 Buffalo Bills,AFC East,16,11-5,20,7.7,14.31,8.97,5.688,0.85,1,1,4,2
CAR-1999,CAR,1999,1999 Carolina Panthers,NFC South,16,8-8,26.31,11.05,23.81,9.93,2.5,0.374,1,3,5,2
CHI-1999,CHI,1999,1999 Chicago Bears,NFC North,16,6-10,17,6.68,21.31,10.76,-4.313,-0.644,2,3,6,3
CIN-1999,CIN,1999,1999 Cincinnati Bengals,AFC North,16,4-12,17.69,14.42,28.75,7.59,-11.063,-1.653,1,3,5,2
CLE-1999,CLE,1999,1999 Cleveland Browns,AFC North,16,2-14,13.56,8.19,27.31,9.62,-13.75,-2.055,1,2,4,2
DAL-1999,DAL,1999,1999 Dallas Cowboys,NFC East,16,8-8,22,10.28,17.25,10.2,4.75,0.71,1,2,4,2
DEN-1999,DEN,1999,1999 Denver Broncos,AFC West,16,6-10,19.63,8.94,19.88,8.13,-0.25,-0.037,1,5,2,2
DET-1999,DET,1999,1999 Detroit Lions,NFC North,16,8-8,20.13,7.35,20.19,7.19,-0.063,-0.009,2,3,4,1
GB-1999,GB,1999,1999 Green Bay Packers,NFC North,16,8-8,22.31,11.13,21.31,8.68,1,0.149,1,3,4,2
IND-1999,IND,1999,1999 Indianapolis Colts,AFC South,16,13-3,26.44,9.33,20.81,8.68,5.625,0.841,1,3,4,2
JAX-1999,JAX,1999,1999 Jacksonville Jaguars,AFC South,16,14-2,24.75,10.07,13.56,10.69,11.188,1.672,1,4,4,2
KC-1999,KC,1999,1999 Kansas City Chiefs,AFC West,16,9-7,24.38,9.84,20.13,10.48,4.25,0.635,1,3,5,2
LAC-1999,LAC,1999,1999 San Diego Chargers,AFC West,16,8-8,16.81,8.78,19.75,10.37,-2.938,-0.439,1,4,3,3
LAR-1999,LAR,1999,1999 St. Louis Rams,NFC West,16,13-3,32.88,6.4,15.13,9.39,17.75,2.652,1,2,5,1
LV-1999,LV,1999,1999 Oakland Raiders,AFC West,16,8-8,24.38,9.59,20.56,9.49,3.813,0.57,1,5,3,3
MIA-1999,MIA,1999,1999 Miami Dolphins,AFC East,16,9-7,20.38,11.27,21,10.39,-0.625,-0.093,2,3,5,2
MIN-1999,MIN,1999,1999 Minnesota Vikings,NFC North,16,10-6,24.94,6.71,20.94,4.88,4,0.598,1,5,5,2
NE-1999,NE,1999,1999 New England Patriots,AFC East,16,8-8,18.69,7.72,17.75,9.35,0.938,0.14,1,4,5,2
NO-1999,NO,1999,1999 New Orleans Saints,NFC South,16,3-13,16.25,6.88,27.13,11.25,-10.875,-1.625,2,4,4,2
NYG-1999,NYG,1999,1999 New York Giants,NFC East,16,7-9,18.69,8.65,22.38,11.59,-3.688,-0.551,2,4,4,2
NYJ-1999,NYJ,1999,1999 New York Jets,AFC East,16,8-8,19.25,9.46,19.31,9.41,-0.063,-0.009,1,3,5,2
PHI-1999,PHI,1999,1999 Philadelphia Eagles,NFC East,16,5-11,17,9.97,22.31,8.89,-5.313,-0.794,2,3,5,3
PIT-1999,PIT,1999,1999 Pittsburgh Steelers,AFC North,16,6-10,19.81,10.73,20,12.3,-0.188,-0.028,2,2,5,2
SEA-1999,SEA,1999,1999 Seattle Seahawks,NFC West,16,9-7,21.13,9.06,18.63,7.47,2.5,0.374,1,3,5,2
SF-1999,SF,1999,1999 San Francisco 49ers,NFC West,16,4-12,18.44,10.09,28.31,11.36,-9.875,-1.476,1,3,4,2
TB-1999,TB,1999,1999 Tampa Bay Buccaneers,NFC South,16,11-5,16.88,8.66,14.69,10.52,2.188,0.327,1,2,5,1
TEN-1999,TEN,1999,1999 Tennessee Titans,AFC South,16,13-3,24.5,11.4,20.25,9.55,4.25,0.635,2,2,5,3
WAS-1999,WAS,1999,1999 Washington Redskins,NFC East,16,10-6,27.69,10.15,23.56,11.48,4.125,0.616,1,3,4,3
ARI-2000,ARI,2000,2000 Arizona Cardinals,NFC West,16,3-13,13.13,8.28,27.69,9.54,-14.563,-1.996,1,2,4,2
ATL-2000,ATL,2000,2000 Atlanta Falcons,NFC South,16,4-12,15.75,8.84,25.81,12.45,-10.063,-1.38,1,2,4,2
BAL-2000,BAL,2000,2000 Baltimore Ravens,AFC North,16,12-4,20.81,13.1,10.31,10.06,10.5,1.439,2,3,5,2
BUF-2000,BUF,2000,2000 Buffalo Bills,AFC East,16,8-8,19.69,8.48,21.88,9.87,-2.188,-0.3,2,3,4,1
CAR-2000,CAR,2000,2000 Carolina Panthers,NFC South,16,7-9,19.38,10.07,19.38,11.32,0,0,1,1,6,2
CHI-2000,CHI,2000,2000 Chicago Bears,NFC North,16,5-11,13.5,9.56,22.19,7.99,-8.688,-1.191,1,2,6,1
CIN-2000,CIN,2000,2000 Cincinnati Bengals,AFC North,16,4-12,11.56,9.76,22.44,11.22,-10.875,-1.491,2,3,5,2
CLE-2000,CLE,2000,2000 Cleveland Browns,AFC North,16,3-13,10.06,9.23,26.19,12.56,-16.125,-2.211,1,2,3,2
DAL-2000,DAL,2000,2000 Dallas Cowboys,NFC East,16,5-11,18.38,12.3,22.56,10.61,-4.188,-0.574,1,3,4,2
DEN-2000,DEN,2000,2000 Denver Broncos,AFC West,16,11-5,30.31,10.08,23.06,9.62,7.25,0.994,2,3,2,3
DET-2000,DET,2000,2000 Detroit Lions,NFC North,16,9-7,19.19,8.26,19.19,8.49,0,0,1,3,6,2
GB-2000,GB,2000,2000 Green Bay Packers,NFC North,16,9-7,22.06,7.27,20.19,9.68,1.875,0.257,1,3,4,2
IND-2000,IND,2000,2000 Indianapolis Colts,AFC South,16,10-6,26.81,9.12,20.38,7.17,6.438,0.883,1,1,3,2
JAX-2000,JAX,2000,2000 Jacksonville Jaguars,AFC South,16,7-9,22.94,11.86,20.44,12.86,2.5,0.343,1,3,5,1
KC-2000,KC,2000,2000 Kansas City Chiefs,AFC West,16,7-9,22.19,11.81,22.13,10.11,0.063,0.009,1,3,4,1
LAC-2000,LAC,2000,2000 San Diego Chargers,AFC West,16,1-15,16.81,9.65,27.5,12.93,-10.688,-1.465,1,5,5,2
LAR-2000,LAR,2000,2000 St. Louis Rams,NFC West,16,10-6,33.75,12.33,29.44,8.92,4.313,0.591,2,2,5,2
LV-2000,LV,2000,2000 Oakland Raiders,AFC West,16,12-4,29.94,11.72,18.69,10.06,11.25,1.542,1,4,4,2
MIA-2000,MIA,2000,2000 Miami Dolphins,AFC East,16,11-5,20.19,9.62,14.13,9.74,6.063,0.831,1,4,6,2
MIN-2000,MIN,2000,2000 Minnesota Vikings,NFC North,16,11-5,24.81,7.24,23.19,9.8,1.625,0.223,1,2,5,4
NE-2000,NE,2000,2000 New England Patriots,AFC East,16,5-11,17.25,7.18,21.13,7.47,-3.875,-0.531,1,3,4,2
NO-2000,NO,2000,2000 New Orleans Saints,NFC South,16,10-6,22.13,7.68,19.06,9.34,3.063,0.42,2,3,4,2
NYG-2000,NYG,2000,2000 New York Giants,NFC East,16,12-4,20.5,7.95,15.38,10.24,5.125,0.703,1,3,5,3
NYJ-2000,NYJ,2000,2000 New York Jets,AFC East,16,9-7,20.06,9.54,20.06,9.28,0,0,1,2,4,2
PHI-2000,PHI,2000,2000 Philadelphia Eagles,NFC East,16,11-5,21.94,11.46,15.31,7.7,6.625,0.908,1,4,4,3
PIT-2000,PIT,2000,2000 Pittsburgh Steelers,AFC North,16,9-7,20.06,11.13,15.94,11.29,4.125,0.565,2,2,5,1
SEA-2000,SEA,2000,2000 Seattle Seahawks,NFC West,16,6-10,20,10.22,25.31,10.2,-5.313,-0.728,1,3,5,2
SF-2000,SF,2000,2000 San Francisco 49ers,NFC West,16,6-10,24.25,9.28,26.38,12.74,-2.125,-0.291,1,4,5,1
TB-2000,TB,2000,2000 Tampa Bay Buccaneers,NFC South,16,10-6,24.25,9.91,16.81,8.71,7.438,1.02,1,3,4,2
TEN-2000,TEN,2000,2000 Tennessee Titans,AFC South,16,13-3,21.63,7.37,11.94,7.16,9.688,1.328,1,2,5,2
WAS-2000,WAS,2000,2000 Washington Redskins,NFC East,16,8-8,17.56,8.4,16.81,8.6,0.75,0.103,1,3,4,2
ARI-2001,ARI,2001,2001 Arizona Cardinals,NFC West,16,7-9,18.44,10.7,21.44,9.14,-3,-0.489,1,4,4,1
ATL-2001,ATL,2001,2001 Atlanta Falcons,NFC South,16,7-9,18.19,9.75,23.56,10.03,-5.375,-0.877,2,3,4,3
BAL-2001,BAL,2001,2001 Baltimore Ravens,AFC North,16,10-6,18.94,7.05,16.56,9.66,2.375,0.387,1,4,4,2
BUF-2001,BUF,2001,2001 Buffalo Bills,AFC East,16,3-13,16.56,10.55,26.25,10.34,-9.688,-1.581,2,3,4,1
CAR-2001,CAR,2001,2001 Carolina Panthers,NFC South,16,1-15,15.81,8.25,25.63,9.95,-9.813,-1.601,1,2,5,3
CHI-2001,CHI,2001,2001 Chicago Bears,NFC North,16,13-3,21.13,9.22,12.69,8.93,8.438,1.377,1,4,3,2
CIN-2001,CIN,2001,2001 Cincinnati Bengals,AFC North,16,6-10,14.13,9.82,19.31,5.71,-5.188,-0.846,1,3,6,1
CLE-2001,CLE,2001,2001 Cleveland Browns,AFC North,16,7-9,17.81,9.07,19.94,9.75,-2.125,-0.347,1,3,4,3
DAL-2001,DAL,2001,2001 Dallas Cowboys,NFC East,16,5-11,15.38,7.74,21.13,10.61,-5.75,-0.938,1,3,5,2
DEN-2001,DEN,2001,2001 Denver Broncos,AFC West,16,8-8,21.25,8.74,21.19,8.52,0.063,0.01,1,4,5,2
DET-2001,DET,2001,2001 Detroit Lions,NFC North,16,2-14,16.88,10.59,26.5,10.2,-9.625,-1.57,1,4,5,1
GB-2001,GB,2001,2001 Green Bay Packers,NFC North,16,12-4,24.38,7.52,16.63,9.74,7.75,1.264,1,3,4,2
IND-2001,IND,2001,2001 Indianapolis Colts,AFC South,16,6-10,25.81,10.99,30.38,10,-4.563,-0.744,1,1,4,2
JAX-2001,JAX,2001,2001 Jacksonville Jaguars,AFC South,16,6-10,18.38,7.21,17.88,9.8,0.5,0.082,1,2,5,1
KC-2001,KC,2001,2001 Kansas City Chiefs,AFC West,16,6-10,20,10.6,21.5,6.82,-1.5,-0.245,1,1,5,3
LAC-2001,LAC,2001,2001 San Diego Chargers,AFC West,16,5-11,20.75,7.46,20.06,7.83,0.688,0.112,1,5,4,2
LAR-2001,LAR,2001,2001 St. Louis Rams,NFC West,16,14-2,31.44,9.19,17.06,8.84,14.375,2.345,1,3,5,1
LV-2001,LV,2001,2001 Oakland Raiders,AFC West,16,10-6,24.94,8.41,20.44,8.31,4.5,0.734,1,5,4,2
MIA-2001,MIA,2001,2001 Miami Dolphins,AFC East,16,11-5,21.5,11.71,18.13,9.46,3.375,0.551,1,2,5,2
MIN-2001,MIN,2001,2001 Minnesota Vikings,NFC North,16,5-11,18.13,11.29,24.38,9.75,-6.25,-1.02,1,3,5,2
NE-2001,NE,2001,2001 New England Patriots,AFC East,16,11-5,23.19,11.21,17,7.68,6.188,1.01,1,4,3,1
NO-2001,NO,2001,2001 New Orleans Saints,NFC South,16,7-9,20.81,9.67,25.56,11.44,-4.75,-0.775,1,3,5,2
