strip,character,animation,classification,needs_art_reasons,classification_after_bg,after_bg_reasons,recovered_by_bg_removal,width,height,frame_count,expected_frames,color_count,semi_transparent_pixels,opaque_pixels_per_frame,opaque_coverage_pct,baseline_per_frame,interior_hole_pixels,interior_hole_total,edge_pixels_x0,edge_pixels_x63,background_pixels_per_frame,detached_islands,detached_island_detail,identical_frame_pairs,consecutive_frame_deltas
acrobat_batting_stance,acrobat,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,23,0,1721,42.02,62,3,3,0,0,0,0,,,
acrobat_celebrate,acrobat,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,23,0,1459;1491,35.62;36.4,62;62,0;0,0,0;0,0;0,0;3,3,"f0:27px@34,3-47,4 f1:18px@14,3-22,4 f1:6px@37,3-42,3",,1317
acrobat_idle,acrobat,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,23,0,1467;1395,35.82;34.06,62;62,0;0,0,0;0,0;0,0;0,0,,,754
acrobat_pitch,acrobat,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,25,0,1687;1600;1552;1537,41.19;39.06;37.89;37.52,62;62;62;62,0;8;2;0,10,0;0;0;0,0;0;0;0,3;0;0;0,2,"f2:46px@54,28-62,37 f3:37px@3,28-7,37",,1218;1992;2018
acrobat_run,acrobat,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,24,0,1531;1453;1413;1321,37.38;35.47;34.5;32.25,62;62;62;62,1;0;0;0,1,0;0;0;0,0;0;0;0,0;1;1;0,0,,,1192;1040;1162
acrobat_swing,acrobat,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,23,0,1703;1604;1816;1714,41.58;39.16;44.34;41.85,62;62;62;62,4;1;0;0,5,0;0;8;0,0;0;9;0,2;2;0;0,2,"f2:185px@0,28-19,38 f3:100px@4,30-13,41",,1963;1915;1818
alice_batting_stance,alice,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,20,0,1551,37.87,63,0,0,0,0,0,2,"f0:48px@22,0-33,3 f0:48px@36,0-47,3",,
alice_celebrate,alice,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,20,0,1499;1441,36.6;35.18,62;62,0;0,0,0;0,0;0,0;0,1,"f1:11px@4,16-5,22",,1752
alice_idle,alice,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,20,0,1399;1356,34.16;33.11,62;62,0;0,0,0;0,0;0,0;0,0,,,541
alice_pitch,alice,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,24,0,1493;1380;1471;1455,36.45;33.69;35.91;35.52,62;62;62;62,0;0;0;0,0,0;0;0;0,0;0;0;0,0;0;0;0,2,"f2:68px@54,21-61,30 f3:10px@5,23-6,28",,1221;1586;2021
alice_run,alice,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,21,0,1393;1316;1278;1357,34.01;32.13;31.2;33.13,62;62;62;62,0;0;0;0,0,0;0;0;0,0;0;0;0,0;0;0;0,0,,,848;790;899
alice_swing,alice,swing,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,22,0,1548;1435;1498;1394,37.79;35.03;36.57;34.03,63;62;62;62,0;0;0;0,0,0;0;0;0,0;0;0;0,0;0;0;0,3,"f0:48px@21,0-32,3 f0:48px@43,0-54,3 f3:50px@8,34-13,43",,1113;2069;2068
apollo_batting_stance,apollo,batting_stance,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (22 px),,64,64,1,1,7,0,28,0.68,62,0,0,0,0,6,0,,,
