wc_year,country,player_name,position,age_at_tournament,birth_year,club_at_tournament,career_caps_at_tournament,career_goals_at_tournament,tournament_goals,assists,mf_pass_completion_pct,mf_key_passes,df_tackles,df_interceptions,df_clearances,gk_clean_sheets,is_captain,tournament_result,fifa_game_rating,data_provenance,skill_rating,award,wc_performance,wc_overall,team_overall
1966,Argentina,Antonio Roma,GK,33,,Boca Juniors,33,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,77,,54,77,83
1966,Argentina,Hugo Gatti,GK,21,,River Plate,0,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,77,,54,75,83
1966,Argentina,Rolando Irusta,GK,28,,Lanús,0,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,62,,54,61,83
1966,Argentina,Carmelo Simeone,DF,31,,Boca Juniors,21,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,77,,53,76,83
1966,Argentina,Roberto Ferreiro,DF,31,,Independiente,15,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,77,,53,76,83
1966,Argentina,Silvio Marzolini,DF,25,,Boca Juniors,13,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,77,,53,76,83
1966,Argentina,Roberto Perfumo,DF,23,,Racing Club,4,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,62,,53,61,83
1966,Argentina,Nelson López,DF,25,,Banfield,0,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,62,,53,61,83
1966,Argentina,Antonio Rattín,MF,29,,Boca Juniors,26,,,,,,,,,,1,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,77,,55,76,83
1966,Argentina,Jorge Solari,MF,24,,River Plate,1,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,77,,52,76,83
1966,Argentina,José Omar Pastoriza,MF,24,,Independiente,0,,,,,,,,,,0,quarterfinal,,Wikipedia squad (verified); baseline=caps-based experience proxy; blanks=not recorded,77,,52,76,83
